Date,Open,High,Low,Close,Adj Close,Volume
2013-04-29,9200.559570,9258.889648,9195.589844,9245.219727,9245.219727,2891200000
2013-04-30,9240.259766,9276.879883,9205.620117,9276.879883,9276.879883,3745070000
2013-05-01,9248.450195,9248.450195,9169.780273,9175.780273,9175.780273,3530320000
2013-05-02,9175.780273,9251.099609,9175.780273,9246.719727,9246.719727,3366950000
2013-05-03,9246.780273,9369.230469,9246.780273,9340.459961,9340.459961,3603910000
2013-05-06,9337.669922,9360.209961,9330.190430,9348.900391,9348.900391,3062240000
2013-05-07,9369.330078,9410.379883,9353.240234,9409.009766,9409.009766,3309580000
2013-05-08,9410.849609,9463.379883,9406.990234,9463.320313,9463.320313,3554700000
2013-05-09,9451.240234,9459.339844,9388.309570,9409.219727,9409.219727,3457400000
2013-05-10,9406.679688,9442.759766,9387.080078,9442.759766,9442.759766,3086470000
2013-05-13,9429.309570,9447.490234,9397.959961,9437.169922,9437.169922,2910600000
2013-05-14,9437.209961,9518.559570,9433.200195,9515.860352,9515.860352,3457790000
2013-05-15,9495.730469,9568.830078,9491.120117,9551.410156,9551.410156,3657440000
2013-05-16,9551.410156,9553.389648,9478.410156,9489.309570,9489.309570,3513130000
2013-05-17,9502.540039,9578.349609,9502.540039,9576.410156,9576.410156,3440710000
2013-05-20,9565.339844,9614.469727,9560.030273,9587.519531,9587.519531,3275080000
2013-05-21,9582.400391,9629.160156,9556.280273,9598.269531,9598.269531,3513560000
2013-05-22,9605.500000,9695.459961,9476.280273,9508.040039,9508.040039,4361020000
2013-05-23,9420.500000,9483.190430,9372.620117,9466.290039,9466.290039,3945510000
2013-05-24,9423.490234,9442.330078,9376.040039,9442.230469,9442.230469,2758080000
2013-05-28,9516.410156,9571.269531,9468.919922,9494.160156,9494.160156,3457400000
2013-05-29,9450.900391,9450.900391,9368.849609,9422.490234,9422.490234,3587140000
2013-05-30,9430.750000,9494.490234,9424.540039,9460.049805,9460.049805,3498620000
2013-05-31,9433.330078,9446.360352,9302.269531,9302.269531,9302.269531,4099600000
2013-06-03,9317.389648,9357.190430,9276.629883,9357.080078,9357.080078,3952070000
2013-06-04,9353.919922,9393.910156,9274.559570,9320.080078,9320.080078,3653840000
2013-06-05,9289.480469,9289.480469,9169.879883,9178.410156,9178.410156,3632350000
2013-06-06,9172.190430,9260.490234,9137.910156,9260.480469,9260.480469,3547380000
2013-06-07,9290.980469,9360.259766,9265.500000,9355.410156,9355.410156,3371990000
2013-06-10,9373.120117,9383.910156,9327.150391,9358.000000,9358.000000,2978730000
2013-06-11,9277.150391,9324.339844,9231.969727,9255.480469,9255.480469,3435710000
2013-06-12,9306.469727,9328.139648,9180.549805,9189.429688,9189.429688,3202550000
2013-06-13,9187.070313,9345.490234,9173.750000,9331.370117,9331.370117,3378620000
2013-06-14,9312.690430,9347.230469,9249.690430,9263.690430,9263.690430,2939400000
2013-06-17,9263.690430,9375.559570,9263.690430,9337.889648,9337.889648,3137080000
2013-06-18,9339.730469,9412.049805,9339.730469,9399.629883,9399.629883,3120980000
2013-06-19,9396.219727,9397.370117,9255.370117,9255.700195,9255.700195,3545060000
2013-06-20,9157.759766,9157.759766,8974.339844,8995.969727,8995.969727,4858850000
2013-06-21,9042.599609,9061.080078,8934.200195,9018.540039,9018.540039,5797280000
2013-06-24,8937.990234,8966.110352,8814.759766,8892.019531,8892.019531,4733660000
2013-06-25,8949.820313,9016.250000,8915.459961,8989.259766,8989.259766,3761170000
2013-06-26,9037.759766,9086.259766,9022.419922,9067.269531,9067.269531,3558340000
2013-06-27,9114.940430,9170.919922,9114.940430,9143.549805,9143.549805,3364540000
2013-06-28,9121.160156,9160.570313,9080.700195,9112.690430,9112.690430,4977190000
2013-07-01,9154.259766,9224.030273,9154.259766,9167.879883,9167.879883,3104690000
2013-07-02,9152.509766,9204.980469,9104.589844,9144.719727,9144.719727,3317130000
2013-07-03,9104.639648,9150.089844,9074.589844,9135.089844,9135.089844,1966050000
2013-07-05,9178.940430,9214.209961,9122.980469,9214.169922,9214.169922,2634140000
2013-07-08,9249.690430,9290.070313,9248.669922,9266.299805,9266.299805,3514590000
2013-07-09,9316.179688,9349.950195,9287.780273,9341.400391,9341.400391,3155360000
2013-07-10,9340.730469,9372.639648,9314.410156,9340.679688,9340.679688,3011010000
